,leo_open,leo_volume,leo_burn_amount,burn_amount_usd,btc_open,btc_volume,btc_usd_volume,burn_amount_usd_EMA,btc_usd_volume_EMA,m2dates,corr,corr_smoothed
2019-06-03 12:00:00,1.4212,29247.50200842,,,8488.0,3389.98247795,28774171.2728396,,11913927.299377315,737213.5,,
2019-06-03 15:00:00,1.4206,2180.10403241,,,8372.6,1670.33439191,13985041.729705667,,11995147.47311568,737213.625,,
2019-06-03 18:00:00,1.419,12215.81658553,,,8475.1,980.08514944,8306319.650018944,,11850487.558484437,737213.75,,
2019-06-03 21:00:00,1.4184,47184.5319905,,,8533.1,6321.2122673,53939536.398097634,,13501038.49337123,737213.875,,
2019-06-04 00:00:00,1.402,102267.29621456,,,8099.2,8046.34799659,65168981.69398172,,15527232.344375562,737214.0,,
2019-06-04 03:00:00,1.3953,30796.00903535,,,8024.1,1716.88976949,13776495.199364709,,15458575.985747686,737214.125,,
2019-06-04 06:00:00,1.3808,385780.88121651,,,7944.0,3544.4705001,28157273.652794402,,15956564.12955344,737214.25,,
2019-06-04 09:00:00,1.4311,132503.77547086,,,7952.0,1496.79159366,11902486.75278432,,15797580.703013474,737214.375,,
2019-06-04 12:00:00,1.4751,93484.63053053,,,7920.0,1298.22392995,10281933.525204,,15581280.813687613,737214.5,,
2019-06-04 15:00:00,1.4741,143707.43182377,,,7969.3,5921.09051049,47186946.60524796,,16820718.68786645,737214.625,,
2019-06-04 18:00:00,1.485,137722.4325084,,,7649.0,3619.37032862,27684563.643614378,,17246751.823385976,737214.75,,
2019-06-04 21:00:00,1.4579,85500.16386562,,,7686.9,2481.15590666,19072397.338904753,,17318345.765171025,737214.875,,
2019-06-05 00:00:00,1.47,203534.14466271,,,7692.9,2035.37459694,15657933.236799724,,17253231.54837215,737215.0,,
2019-06-05 03:00:00,1.4531,37163.77503404,,,7847.7,961.64474438,7546699.460470926,,16872583.23119955,737215.125,,
2019-06-05 06:00:00,1.4429,70981.04505766,,,7759.9,1250.12163997,9700818.914003203,,16591337.571701655,737215.25,,
2019-06-05 09:00:00,1.45,26549.73308865,,,7834.27665797,1438.75578842,11271610.88973803,,16382720.83907563,737215.375,,
2019-06-05 12:00:00,1.4839,23552.55865855,,,7816.90875786,1070.04223565,8364422.523132579,,16068277.767862178,737215.5,,
2019-06-05 15:00:00,1.4729,69467.79930665,,,7700.0,1418.18312969,10920010.098613,,15866384.9180877,737215.625,,
2019-06-05 18:00:00,1.5036,139354.58565366,,,7813.86078685,1535.24359014,11996179.68725776,,15714612.163937507,737215.75,,
2019-06-05 21:00:00,1.4561,57712.12433374,,,7735.0,1116.13058115,8633270.04519525,,15436912.473006438,737215.875,,
2019-06-06 00:00:00,1.4834,21983.71485772,,,7789.3,425.02908075,3310679.018685975,,14961373.906170342,737216.0,,
2019-06-06 03:00:00,1.5045,52075.34646354,,,7823.0314745000005,705.66303403,5520424.125607855,,14591140.5814424,737216.125,,
2019-06-06 06:00:00,1.4985,51151.22598708,,,7802.9,331.60645682,2587492.021920778,,14120409.26538273,737216.25,,
2019-06-06 09:00:00,1.4999,39481.91110967,,,7809.9,571.70753664,4464978.6904047355,,13741764.929109083,737216.375,,
2019-06-06 12:00:00,1.4832,918783.87041178,,,7848.95961529,1307.60007337,10263300.16883137,,13605354.546353094,737216.5,,
2019-06-06 15:00:00,1.6079,162813.47375302,,,7693.9,664.7189812,5114281.36945468,,13272371.284513941,737216.625,,
2019-06-06 18:00:00,1.6309,147837.7923189,,,7645.2,2619.91332007,20029761.314599164,,13537366.971968263,737216.75,,
2019-06-06 21:00:00,1.62,65192.60279953,,,7690.7,927.15460743,7130467.939361901,,13286116.029513111,737216.875,,
2019-06-07 00:00:00,1.645,150764.18834753,,,7815.3,785.9373188,6142335.92761764,,13005967.790223094,737217.0,,
2019-06-07 03:00:00,1.6598,224703.25949443,,,7800.0,926.41530374,7226039.369172,,12779303.930574032,737217.125,,
2019-06-07 06:00:00,1.6332,36929.84127248,,,7813.9,2328.80942122,18197083.936470956,,12991765.891589597,737217.25,,
2019-06-07 09:00:00,1.6599,120476.42692963,,,7983.0,687.63815065,5489415.356638949,,12697556.066689571,737217.375,,
2019-06-07 12:00:00,1.6768,198327.88749236,,,7919.9,1194.29105416,9458665.719841784,,12570540.75897005,737217.5,,
2019-06-07 15:00:00,1.6998,176047.75650431,,,7933.55635661,3143.30054701,24937552.035466876,,13055521.593342476,737217.625,,
2019-06-07 18:00:00,1.6953,338931.02233883,,,8087.9,2936.70349915,23751764.230775286,,13474982.088928076,737217.75,,
2019-06-07 21:00:00,1.656,48747.38797225,,,7888.0,1453.82053472,11467736.37787136,,13396266.57084742,737217.875,,
2019-06-08 00:00:00,1.6895,10062.32198346,,,7999.9,354.16460158,2833281.396179842,,12982031.858115358,737218.0,,
2019-06-08 03:00:00,1.6998,173451.18060487,,,7968.990894699999,569.70297154,4539957.792885793,,12650970.13006714,737218.125,,
2019-06-08 06:00:00,1.6637,222204.62265061,,,7938.5,582.49233564,4624115.40647814,,12336191.513455806,737218.25,,
2019-06-08 09:00:00,1.6701,110173.67561602,,,7968.22649532,301.51657233,2402552.340417975,,11946637.036081774,737218.375,,
2019-06-08 12:00:00,1.6573,486233.91681753,,,7991.81143985,304.72467173,2435302.11753635,,11573643.509864306,737218.5,,
2019-06-08 15:00:00,1.7259,190084.57967095,,,7923.64882471,1431.84203804,11345413.481886016,,11564693.312688686,737218.625,,
2019-06-08 18:00:00,1.71,59893.50136684,,,7844.3,563.6421692000001,4421378.267855561,,11284563.310930524,737218.75,,
2019-06-08 21:00:00,1.7122,32743.30754118,,,7874.9,664.22710901,5230722.0607428495,,11047157.771707477,737218.875,,
2019-06-09 00:00:00,1.724,66995.26314668,,,7924.0,217.10814235,1720364.9199814,,10681401.189286847,737219.0,,
2019-06-09 03:00:00,1.71,118435.75014415,,,7867.0,122.78821057,965974.8525541901,,10300404.078042429,737219.125,,
2019-06-09 06:00:00,1.73,131159.66621652,,,7895.0,358.52812728,2830579.5648756,,10007469.783408435,737219.25,,
2019-06-09 09:00:00,1.7285,765932.97252048,,,7913.7,462.81107155,3662547.976925235,,9758649.320409093,737219.375,,
2019-06-09 12:00:00,1.7687,159715.68822046,,,7879.1,1888.2430485,14877655.80343635,,9959394.672684671,737219.5,,
2019-06-09 15:00:00,1.75,576413.92542294,,,7791.0,1434.55980053,11176655.40592923,,10007130.38771387,737219.625,,
2019-06-09 18:00:00,1.7089,147249.74969785,,,7658.8,411.01216958,3147860.004379304,,9738139.392288985,737219.75,,
2019-06-09 21:00:00,1.7199,42221.37981352,,,7703.5,1935.0888535999998,14906956.983707597,,9940838.121364225,737219.875,,
2019-06-10 00:00:00,1.7546,99300.79822792,,,7633.3,604.50335295,4614355.444073236,,9731956.447744971,737220.0,,
2019-06-10 03:00:00,1.765,120047.06090517,,,7634.4,512.4123752,3911961.03722688,,9503721.333607007,737220.125,,
2019-06-10 06:00:00,1.77,327548.86300511,,,7622.0,1100.97891402,8391661.28266044,,9460111.135530671,737220.25,,
2019-06-10 09:00:00,1.7835,251072.86253068,,,7718.23604074,2674.76442242,20644463.16561115,,9898713.175925985,737220.375,,
2019-06-10 12:00:00,1.78,559709.05202011,,,7936.8,2100.90132574,16674433.642133234,,10164427.704012543,737220.5,,
2019-06-10 15:00:00,1.8023,2250162.33387119,,,7945.6,656.58111288,5216930.890499328,,9970408.221129673,737220.625,,
2019-06-10 18:00:00,1.875,127562.58500376,,,7926.38149584,756.32725154,5994938.331406181,,9814507.441140516,737220.75,,
2019-06-10 21:00:00,1.8991,221031.91181157,,,7937.3,497.37497684,3947814.403672132,,9584441.047514305,737220.875,,
2019-06-11 00:00:00,1.913,113128.69953557,,,8018.7544992,562.52124086,4510719.731041692,,9385471.584123222,737221.0,,
2019-06-11 03:00:00,1.9297,238009.08105120002,,,7944.9,167.50711012,1330827.2391923878,,9069603.17843966,737221.125,,
2019-06-11 06:00:00,1.9382,280890.5359604,,,7946.9,366.98591641,2916400.379118629,,8828301.107878052,737221.25,,
2019-06-11 09:00:00,1.9488,333456.36508757,,,7951.7,1742.41389609,13855152.577538852,,9025432.538060829,737221.375,,
2019-06-11 12:00:00,1.9004,166773.23770787,,,7782.5,507.47645519,3949435.5125161754,,8826373.831176724,737221.5,,
2019-06-11 15:00:00,1.9,268380.42578132,,,7788.1,1033.92700732,8052326.925708893,,8796019.050570143,737221.625,,
2019-06-11 18:00:00,1.8794,79854.79947582001,,,7879.9,1163.50969652,9168340.057607947,,8810619.874375548,737221.75,,
2019-06-11 21:00:00,1.899,53111.80752973,,,7915.3,982.50484591,7776820.606831423,,8770078.726628719,737221.875,,
2019-06-12 00:00:00,1.9099,182094.02841001,,,7905.4,1918.92599417,15169877.554311518,,9021051.229675103,737222.0,,
2019-06-12 03:00:00,1.929,332129.72439234,,,8024.0,501.09089631,4020753.35199144,,8824961.116824763,737222.125,,
2019-06-12 06:00:00,1.93,328039.41992704,,,7963.9,314.25929619,2502729.608927541,,8577030.469456244,737222.25,,
2019-06-12 09:00:00,1.9245,400268.91414986,,,7978.32360342,740.92508199,5911340.070006715,,8472493.591046458,737222.375,,
2019-06-12 12:00:00,1.96,651628.51630796,,,8004.8,951.15843756,7613833.060980288,,8438820.629083078,737222.5,,
2019-06-12 15:00:00,1.9592,261466.46390384,,,8014.9,3615.05538556,28974307.409724843,,9244133.83616707,737222.625,,
2019-06-12 18:00:00,1.9689,88786.03474363,,,8159.2,645.98352463,5270708.774161096,,9088313.245500168,737222.75,,
2019-06-12 21:00:00,1.9698,41662.40221129,,,8111.9,457.5459119,3711566.68274161,,8877460.43911748,737222.875,,
2019-06-13 00:00:00,1.9698,82306.66132998,,,8174.1,631.41798492,5161273.750534572,,8731727.627800504,737223.0,,
2019-06-13 03:00:00,1.949,25667.47920264,,,8101.9323913,293.90887269,2381229.815737579,,8482688.497915683,737223.125,,
2019-06-13 06:00:00,1.9609999999999999,230786.02526077,,,8130.62706042,477.29551352,3880711.818042772,,8302218.824195177,737223.25,,
2019-06-13 09:00:00,1.9681,824911.15479135,,,8133.7,786.06589641,6393624.181630017,,8227371.9754671315,737223.375,,
2019-06-13 12:00:00,1.9288,211848.84633537,,,8120.9,1485.6557036,12064861.40336524,,8377861.756953332,737223.5,,
2019-06-13 15:00:00,1.9349,149735.61834639,,,8164.7,2232.7477056,18229715.19191232,,8764208.950481135,737223.625,,
2019-06-13 18:00:00,1.9315,65356.96576490001,,,8187.96113717,1126.19476719,9221238.986635936,,8782131.69699701,737223.75,,
2019-06-13 21:00:00,1.9435,118734.35458529,,,8267.5,1856.33025219,15347210.359980825,,9039585.76221206,737223.875,,
2019-06-14 00:00:00,1.9443,230910.47668276,,,8227.4,1835.56781182,15101950.614967868,,9277325.560359348,737224.0,,
2019-06-14 03:00:00,1.9533,282838.7243851,,,8196.4,245.54856271,2012614.2393962438,,8992434.920321578,737224.125,,
2019-06-14 06:00:00,1.9286,363249.59023595,7230.0,13943.778,8222.7,1182.0908752999999,9719978.64032931,,9020966.046596391,737224.25,,
2019-06-14 09:00:00,1.8642,749071.92561769,6325.0,11791.065,8310.0,1519.14556518,12624099.6466458,,9162265.403461074,737224.375,,
2019-06-14 12:00:00,1.8751,398702.05271159,10421.0,19540.4171,8281.4,2791.87545873,23120637.42392662,,9709652.541518547,737224.5,,
2019-06-14 15:00:00,1.9149,223934.62789438,6901.0,13214.724900000001,8386.8,833.000298,6986206.899266399,,9602850.751626305,737224.625,,
2019-06-14 18:00:00,1.9229,109748.45988139999,3236.0,6222.5044,8392.4,598.84352295,5025734.38200558,,9423355.992033336,737224.75,,
2019-06-14 21:00:00,1.9275,181482.39113069,13160.0,25365.9,8444.9725485,3707.56642858,31310296.711098284,,10281667.392780982,737224.875,,
2019-06-15 00:00:00,1.9279,28764.44097577,7433.0,14330.0807,8689.1,812.5869513600002,7060649.279062178,,10155352.956948873,737225.0,,
2019-06-15 03:00:00,1.93,41020.11190272,3529.0,6810.969999999999,8653.30155281,540.4370727,4676564.960391002,,9940498.52571131,737225.125,,
2019-06-15 06:00:00,1.9236,157439.91133022,5804.0,11164.5744,8694.1,1454.10797745,12642160.166748045,,10046446.041046083,737225.25,,
2019-06-15 09:00:00,1.925,84104.15042771,3563.0,6858.775000000001,8692.0,576.16452951,5008022.09050092,,9848860.788083527,737225.375,,
2019-06-15 12:00:00,1.935,31382.62220523,3064.0,5928.84,8672.9,476.80153639,4135252.0449568313,,9624797.700117774,737225.5,,
2019-06-15 15:00:00,1.93,85509.53789753,14006.0,27031.579999999998,8699.9,2889.86977815,25141578.082927182,,10233298.891600497,737225.625,,
2019-06-15 18:00:00,1.9269,167209.71858209,5852.0,11276.2188,8827.032842100001,1152.45980532,10172800.550759813,,10230926.407645961,737225.75,,
2019-06-15 21:00:00,1.9091,39364.13129678,5122.0,9778.4102,8791.85956037,1497.52034601,13165988.570916608,,10346026.884636967,737225.875,,
2019-06-16 00:00:00,1.9092,162082.65592968,10564.0,20168.7888,8856.0,2296.12739949,20334504.24988344,,10737731.879352514,737226.0,,
2019-06-16 03:00:00,1.89,292432.98972981,12147.0,22957.829999999998,8970.0,3317.000399,29753493.57903,,11483448.024437904,737226.125,,
2019-06-16 06:00:00,1.8955,236942.33763975,16909.0,32051.0095,9324.0,5481.51973889,51109690.04541036,,13037418.299770158,737226.25,,
2019-06-16 09:00:00,1.8965,81327.00393933,13470.0,25545.855,9056.3,1976.85179773,17902962.935782198,,13228223.97177063,737226.375,,
2019-06-16 12:00:00,1.89,78285.73051487,8383.0,15843.869999999999,9155.1,2123.6529947999998,19442255.53269348,,13471911.483963681,737226.5,,
2019-06-16 15:00:00,1.8761,94214.23036162,10086.0,18922.3446,9264.7,1840.75628239,17054054.729458634,,13612387.689669365,737226.625,,
2019-06-16 18:00:00,1.8757,40324.67270815,10181.0,19096.5017,9081.3,2702.61854251,24543289.770096064,,14041050.516352765,737226.75,,
2019-06-16 21:00:00,1.8769999999999998,51550.49382056,4473.0,8395.821,8968.1,1171.35041199,10504787.62976752,,13902373.540408246,737226.875,,
2019-06-17 00:00:00,1.8791,158542.59791383,5979.0,11235.1389,8985.9,1409.68433006,12667282.421486154,,13853938.594568165,737227.0,,
2019-06-17 03:00:00,1.8701,11268.32402203,3944.0,7375.674400000001,9090.6,834.82482338,7589058.539418228,,13608257.023777971,737227.125,,
2019-06-17 06:00:00,1.8906,18798.01455328,3311.0,6259.7766,9170.91639425,624.20235164,5724507.579984679,,13299090.378923332,737227.25,,
2019-06-17 09:00:00,1.9,180481.97072022,8352.0,15868.8,9198.51503524,1743.24550735,16035270.009473557,,13406391.540905694,737227.375,,
2019-06-17 12:00:00,1.935,431411.94468634,8714.0,16861.59,9306.0,2992.58789282,27849022.93058292,,13972769.242461663,737227.5,,
2019-06-17 15:00:00,1.9035,72807.59089809,13161.0,25051.963499999998,9409.0,2433.89261473,22900495.61199457,,14322876.158913933,737227.625,,
2019-06-17 18:00:00,1.92,150667.84835684,6739.0,12938.88,9270.4,1539.59105223,14272624.890592992,,14320905.520940563,737227.75,,
2019-06-17 21:00:00,1.92,76319.97014615001,11864.0,22778.879999999997,9300.0,2590.43675137,24091061.787740998,,14704048.903952345,737227.875,,
2019-06-18 00:00:00,1.91,199081.66696627,6957.0,13287.869999999999,9352.5,1149.47762475,10750489.485474374,,14549007.35812968,737228.0,,
2019-06-18 03:00:00,1.9084,25527.13984522,6483.0,12372.157200000001,9249.96459174,1391.50418386,12871364.429963065,,14483217.439378047,737228.125,,
2019-06-18 06:00:00,1.915,248954.79676006,8253.0,15804.495,9178.11207467,1187.3371656,10897513.576297812,,14342601.601610195,737228.25,,
2019-06-18 09:00:00,1.9,302898.06553742,5225.0,9927.5,9191.8,1012.45731322,9306305.131655594,,14145099.779259034,737228.375,,
2019-06-18 12:00:00,1.91,234093.03229466,11245.0,21477.95,9184.96141999,1628.20982084,14955044.388064232,,14176862.31293767,737228.5,,
2019-06-18 15:00:00,1.8769999999999998,267575.56111485,13327.0,25014.779,9118.0,1946.3657829999997,17746963.209393997,,14316866.269661447,737228.625,,
2019-06-18 18:00:00,1.8562,50179.90938616,4753.0,8822.518600000001,9059.9,858.8857042999999,7781418.592387569,,14060574.203886,737228.75,,
2019-06-18 21:00:00,1.8792,58961.35071553,7295.0,13708.764,9144.0,1424.38018754,13024532.43486576,,14019945.114904815,737228.875,,
2019-06-19 00:00:00,1.8708,39996.11890476,5271.0,9860.9868,9094.4,909.52485898,8271582.877507712,,13794519.14481081,737229.0,,
2019-06-19 03:00:00,1.8676,231445.24456161,2687.0,5018.2411999999995,9169.2,401.95367036,3685593.5942649124,,13398090.691848226,737229.125,,
2019-06-19 06:00:00,1.8341,77654.22335089999,2967.0,5441.7747,9191.1,296.56341885,2725744.038992235,,12979567.29369701,737229.25,,
2019-06-19 09:00:00,1.824,41111.58073622,5021.0,9158.304,9180.92657032,664.86374889,6104065.257826765,,12709939.762878569,737229.375,,
2019-06-19 12:00:00,1.8491,138600.99810848,3201.0,5918.9691,9154.55635464,677.80058403,6204963.643710541,,12454842.660166098,737229.5,,
2019-06-19 15:00:00,1.8365,54032.46402213,3146.0,5777.629,9088.5,520.01256448,4726134.192276481,,12151756.053582191,737229.625,,
2019-06-19 18:00:00,1.849,32555.08636506,3282.0,6068.418,9163.72150371,1079.49671253,9892207.237795413,,12063146.296100358,737229.75,,
2019-06-19 21:00:00,1.8531,25117.72696127,5064.0,9384.098399999999,9194.0,1215.31819077,11173635.44593938,,12028263.517662672,737229.875,,
2019-06-20 00:00:00,1.8551,41988.54852994,1957.0,3630.4307,9305.9,630.51277987,5867488.878192233,,11786664.512193244,737230.0,,
2019-06-20 03:00:00,1.8686,61074.84356482,3663.0,6844.6818,9359.92643422,850.75570931,7963010.852634256,,11636717.309857598,737230.125,,
2019-06-20 06:00:00,1.8513,315774.65971103,3642.0,6742.4346,9313.77797214,711.79869448,6629535.001245834,,11440357.219323803,737230.25,,
2019-06-20 09:00:00,1.9045,331213.4918461,3789.0,7216.150500000001,9251.03297724,424.61562829,3928133.179962272,13321.774301999998,11145760.19817237,737230.375,,
2019-06-20 12:00:00,1.8998,415250.63617295,3403.0,6465.0194,9306.1,1565.41241252,14567884.452152373,13052.881952901958,11279961.14930884,737230.5,,
2019-06-20 15:00:00,1.8836,209740.97762411,6125.0,11537.05,9397.2,1991.43603554,18713922.71317649,12993.437562592078,11571489.053774238,737230.625,,
