timestamp,open,high,low,close,volume
2019-05-20 06:00:00,2.49,2.49,1.04,1.089,416308.92592729
2019-05-20 09:00:00,1.075,1.15,1.0252,1.1,1272760.52424664
2019-05-20 12:00:00,1.1,1.108,1.065,1.0915,152273.91814499
2019-05-20 15:00:00,1.105,1.11,1.08,1.0833,688447.11960777
2019-05-20 18:00:00,1.0883,1.0999,1.081,1.083,171652.47511469
2019-05-20 21:00:00,1.0998,1.1,1.065,1.07,161900.64451034
2019-05-21 00:00:00,1.0701,1.0702,1.0523,1.0523,105523.90687688
2019-05-21 03:00:00,1.0523,1.0523,1.0075,1.008,271578.33306136
2019-05-21 06:00:00,1.0081,1.0559,1.0081,1.041,61498.60000582
2019-05-21 09:00:00,1.041,1.0553,1.03,1.03,144934.59126077
2019-05-21 12:00:00,1.03,1.0601,1.03,1.0309,214918.01975019
2019-05-21 15:00:00,1.0316,1.07,1.0301,1.0676,206090.89070094
2019-05-21 18:00:00,1.058,1.0669,1.058,1.058,7867.81028415
2019-05-21 21:00:00,1.0667,1.0668,1.037,1.0384,84712.44680047
2019-05-22 00:00:00,1.0384,1.089,1.035,1.0502,179791.3305792
2019-05-22 03:00:00,1.0626,1.0801,1.0441,1.08,24979.3852596
2019-05-22 06:00:00,1.0701,1.0783,1.04,1.0783,459881.84382277
2019-05-22 09:00:00,1.0686,1.07,1.05,1.067,132566.78545639
2019-05-22 12:00:00,1.065,1.0783,1.0606,1.0606,81973.61297884
2019-05-22 15:00:00,1.0675,1.1399,1.0606,1.1287,611276.04959994
2019-05-22 18:00:00,1.1349,1.1376,1.079,1.12,202421.21356143
2019-05-22 21:00:00,1.1164,1.13,1.11,1.121,131888.23110902
2019-05-23 00:00:00,1.121,1.1343,1.118,1.1201,21337.26274609
2019-05-23 03:00:00,1.12,1.12,1.0984,1.1021,26980.11369354
2019-05-23 06:00:00,1.0985,1.0985,1.0791,1.0791,153599.54559704
2019-05-23 09:00:00,1.0873,1.0934,1.05,1.0822,477239.57849225
2019-05-23 12:00:00,1.0839,1.1243,1.076,1.1167,104216.17756730001
2019-05-23 15:00:00,1.11,1.1249,1.1075,1.1109,10928.6667325
2019-05-23 18:00:00,1.1184,1.1258,1.0883,1.0947,116450.88652297
2019-05-23 21:00:00,1.0999,1.1,1.0956,1.0956,6880.74906193
2019-05-24 00:00:00,1.0999,1.1,1.0958,1.0971,7747.201253929999
2019-05-24 03:00:00,1.1,1.1048,1.1,1.1043,18523.15683162
